QuestionNumber,Question,RelatedTags,Answer
90,"If it's not too spoilery, why are those mountains in the middle of the Dark World not shadowed? Are they above whatever miasma permeates the place?",['Dark World'],"Unlike most of the map, that's something that doesn't have a reason behind it haha. The mountains should be black as well, but the map software I used didn't color it. It's an oversight on my part. That said, they do mark something significant."
91,Would you be able to say how strong Volcarona is considered in Traveler?,"['Bug type', 'Dragonite', 'Fire type', 'Pseudo Legendary', 'Salamence', 'Volcarona']","Volcarona are somewhat seen as pseudolegendaries like Dragonite and Salamence. Very rare and powerful and with a major cultural influence on their region. In battle, I think that they're a little more vulnerable than a dragon but with more elemental powers. Also, they're excellent against psychics."
92,Do all Leagues have ACE trainers? Or are they different in every region?,"['ACE Trainer', 'ASTRE Trainer', 'Galar', 'Kalos', 'National League', 'NOBLE Trainer', 'SEEK Trainer', 'Unova']","That's right, ACE is standard for the National League with various specialized groups under that umbrella. Kalos has ASTRE, Unova has SEEK, Galar has NOBLE."
93,Do the national league regions speak the same language?,"['Galar', 'Hoenn', 'Kalos', 'Language', 'League', 'National League', 'Sinnoh', 'Unova', 'Unown']","The National League does speak the same  official language, since all of the humans in that area have a common origin. There's a lot of regional dialects and stuff, but as communication has improved and ties grew closer, the differences have been smoothed out so long as you don't go to an isolated area. Sinnoh's full of villages and towns in hidden away mountain valleys that barely ever see visitors, so you're a lot more likely to have communication gaps there - in general, the farther you get from a main city in Sinnoh the less you'll be able to understand anyone. Hoenn's archipelago is similar, but the mainland has been connected through trade to Indigo for so long that there was a lot of common ground. Unova, Kalos, Galar, etc. have different languages from the National League's. I'm no linguist, but since their written languages are all based on the Unown I imagine it would be very easy for them to communicate in writing between different cultures, and possibly have similar phonetics? I'm not sure about that, but I do feel it's easier for different cultures to communicate and bridge gaps since they all have a similar written alphabet. Hard to say for certain."
94,What is the [Unown] question marks cry?,"['Psychic type', 'Unown']",Now I just imagine all the Unown's psychic cries just sounding like a text-to-speech device when there's multiples of the same letters like that.
95,Will there be a battle frontier concept in Traveller?,"['Ash', 'Battle Frontier']","Battle Frontier will exist and I think I will include elements, but I do not think I'll be having Ash visit it, (at least not in detail) due to the time investment that would require."
96,How is pollution in other regions?,"['Alola', 'Galar', 'Johto', 'Kalos', 'Kanto', 'Pollution', 'Region', 'Rustboro City', 'Sinnoh', 'Technology', 'Unova']","And pollution kind of varies from region to region. Unova and Kanto are probably the worst due to being heavily industrialized, but it's much, much better than it was in the past due to technological advancements. It definitely doesn't hurt that wild pokemon get absolutely pissed and start wrecking things when pollution and human influence gets too disruptive. Hoenn is really, really good on the pollution front outside of Rustboro, while Sinnoh, Johto, Kalos, and Galar are all pretty good at handling it. Alola is barely habitated compared to the others, so it only has a few pollution hotspots."
97,On Hoenn’s climate.,"['Hoenn', 'Legendary Pokemon', 'Region']","Yep, definitely a north South American or Caribbean feel. Very tropical. Of course, its pristine environment is partly responsible to the angry Legends that nuke civilization every few thousand years haha."
98,"About the language thing in FAQ, how would basing all the regions language on Unown work if Unown aren't native to all the post Sinnoh regions? [see question 93]","['Greenfield', 'Region', 'Ruins of Alph', 'Sevii Islands', 'Sinnoh', 'Unown']","My current thinking is that Unown were once fairly widespread, scattered all over the place in caches. It's only over thousands of years that they aggregated into massive hordes like the one we saw in Greenfield - they were intentionally collected and sealed away in protected areas like the Ruins of Alph and the Sevii Islands so that their power would be unreachable. Isolated caches are still found in modern day, but it's usually only four or five Unown that weren't discovered and added to the hoards."
99,Do you carry momentum during teleportation?,"['Physics', 'Psychic type', 'Teleport']","Psychics and teleportation are hard to pin down, but my current thinking is that momentum can be kept depending on the skill of a psychic. Most psychics aren't capable of it, and those that tend to be psychic-types that wouldn't get much use out of keeping momentum since they tend to be more stationary fighters. That's my current thinking, anyways."
100,On Gallade’s potential psychic specialization.,"['Gallade', 'Psychic type']","Yep, I'd say Gallade is the optimal one for that technique [described in the answer to question 99]. It's just not worth training most psychics in, but it would be incredible in a Gallade's hands."
101,Which of the teams [Aqua or Magma] will be the oldest?,"['Archie', 'Crime', 'Hoenn', 'League', 'National League', 'Southern Continent', 'Team Aqua', 'Team Magma']","Aqua and Magma are roughly the same age, but they're really just organizations that mobilized and organized preexisting movements. Magma drew heavily on industrial, pro-human, and real estate groups due to their mission to create new land for humanity to settle. They have MASSIVE financial backing from various groups. In the Traveler world, it's almost impossible to expand beyond the major regions. The world outside of civilized regions is basically a massive death trap full of pokemon unused to humanity and not particularly interested in sharing their territory. Expansion is possible, but it progresses at a snail's pace and can be wrecked at any point if there's a diplomatic issue with the local pokemon. There's a reason the Southern Continent is basically empty and that the frontier regions are unable to really thrive. Magma's mission is to avert the issue entirely by producing new land without current pokemon inhabitants, allowing humanity a chance to grow beyond the core regions."
102,"[Does] the Magma land creation involves island creation, similar to the contemporary efforts in the South China Sea? How does that affect the seafloor pokemon? Archie's just the local hegemon, and his (and Aqua's) interest in Kyogre is presumably more inspired by culture than pragmatic desires?","['Archie', 'Kyogre', 'Team Aqua', 'Team Magma', 'Wild Pokemon']","Yep, that's their current 'proof of concept'. They've been doing work on that for some time now, although they're running into exactly the problems you mentioned. They have to work with local pokemon (who usually want bribes), it's an expensive process, and there's always pokemon that do decide to say screw it and attack or harass them anyways."
